NAV,RP,SP,Date
68.3906,67.7067,69.9294,16-Oct-07
67.3313,66.658,68.8463,17-Oct-07
65.2425,64.5901,66.7105,18-Oct-07
63.5172,62.882,64.9463,19-Oct-07
63.3483,62.7148,64.7736,22-Oct-07
66.3179,65.6547,67.8101,23-Oct-07
66.7361,66.0687,68.2377,24-Oct-07
67.4357,66.7613,68.953,25-Oct-07
69.0869,68.396,70.6414,26-Oct-07
70.8931,70.1842,72.4882,29-Oct-07
70.9902,70.2803,72.5875,30-Oct-07
71.4366,70.7222,73.0439,31-Oct-07
70.9659,70.2562,72.5626,1-Nov-07
71.7225,71.0053,73.3363,2-Nov-07
71.9065,71.1874,73.5244,5-Nov-07
71.5093,70.7942,73.1183,6-Nov-07
71.6015,70.8855,73.2125,7-Nov-07
71.1443,70.4329,72.745,8-Nov-07
70.6919,69.985,72.2825,12-Nov-07
71.8527,71.1342,73.4694,13-Nov-07
73.5503,72.8148,75.2052,14-Nov-07
73.5119,72.7768,75.1659,15-Nov-07
73.3679,72.6342,75.0187,16-Nov-07
74.076,73.3352,75.7427,19-Nov-07
72.9682,72.2385,74.61,20-Nov-07
70.53,69.8247,72.1169,21-Nov-07
70.1169,69.4157,71.6945,22-Nov-07
70.8946,70.1857,72.4897,23-Nov-07
72.019,71.2988,73.6394,26-Nov-07
72.1677,71.446,73.7915,27-Nov-07
71.6971,70.9801,73.3103,28-Nov-07
71.6136,70.8975,73.2249,29-Nov-07
72.4663,71.7416,74.0968,30-Nov-07
73.479,72.7442,75.1323,3-Dec-07
74.0429,73.3025,75.7089,4-Dec-07
74.6344,73.8881,76.3137,5-Dec-07
74.4703,73.7256,76.1459,6-Dec-07
74.3218,73.5786,75.994,7-Dec-07
74.2913,73.5484,75.9629,10-Dec-07
74.8856,74.1367,76.5705,11-Dec-07
75.5642,74.8086,77.2644,12-Dec-07
75.2335,74.4812,76.9263,13-Dec-07
75.1376,74.3862,76.8282,14-Dec-07
72.645,71.9186,74.2795,17-Dec-07
72.537,71.8116,74.1691,18-Dec-07
72.2121,71.49,73.8369,19-Dec-07
72.1803,71.4585,73.8044,20-Dec-07
72.1798,71.458,73.8038,21-Dec-07
73.4221,72.6879,75.0741,24-Dec-07
74.8991,74.1501,76.5843,26-Dec-07
75.0803,74.3295,76.7696,27-Dec-07
75.7493,74.9918,77.4537,28-Dec-07
76.6364,75.87,78.3607,31-Dec-07
77.1198,76.3486,78.855,1-Jan-08
77.9064,77.1273,79.6593,2-Jan-08
78.2126,77.4305,79.9724,3-Jan-08
78.9112,78.1221,80.6867,4-Jan-08
78.6572,77.8706,80.427,7-Jan-08
77.6988,76.9218,79.447,8-Jan-08
77.666,76.8893,79.4135,9-Jan-08
76.3354,75.572,78.0529,10-Jan-08
76.6816,75.9148,78.4069,11-Jan-08
77.2878,76.5149,79.0268,14-Jan-08
76.4855,75.7206,78.2064,15-Jan-08
75.1275,74.3762,76.8179,16-Jan-08
75.1152,74.364,76.8053,17-Jan-08
72.8463,72.1178,74.4853,18-Jan-08
67.5821,66.9063,69.1027,21-Jan-08
64.4392,63.7948,65.8891,22-Jan-08
67.578,66.9022,69.0985,23-Jan-08
66.3764,65.7126,67.8699,24-Jan-08
69.4425,68.7481,71.005,25-Jan-08
69.0316,68.3413,70.5848,28-Jan-08
68.7762,68.0884,70.3237,29-Jan-08
67.6664,66.9897,69.1889,30-Jan-08
67.3129,66.6398,68.8274,31-Jan-08
67.8385,67.1601,69.3649,1-Feb-08
69.1557,68.4641,70.7117,4-Feb-08
69.3923,68.6984,70.9536,5-Feb-08
68.2974,67.6144,69.8341,6-Feb-08
66.7989,66.1309,68.3019,7-Feb-08
65.8388,65.1804,67.3202,8-Feb-08
63.3694,62.7357,64.7952,11-Feb-08
62.8633,62.2347,64.2777,12-Feb-08
63.374,62.7403,64.7999,13-Feb-08
65.7359,65.0785,67.215,14-Feb-08
66.702,66.035,68.2028,15-Feb-08
66.8628,66.1942,68.3672,18-Feb-08
66.8664,66.1977,68.3709,19-Feb-08
65.6538,64.9973,67.131,20-Feb-08
65.6922,65.0353,67.1703,21-Feb-08
64.9132,64.2641,66.3737,22-Feb-08
65.2905,64.6376,66.7595,25-Feb-08
65.9851,65.3252,67.4698,26-Feb-08
66.5373,65.8719,68.0344,27-Feb-08
66.4848,65.82,67.9807,28-Feb-08
65.9273,65.268,67.4107,29-Feb-08
63.4298,62.7955,64.857,3-Mar-08
62.5031,61.8781,63.9094,4-Mar-08
62.4013,61.7773,63.8053,5-Mar-08
60.8273,60.219,62.1959,7-Mar-08
60.6649,60.0583,62.0299,10-Mar-08
61.691,61.0741,63.079,11-Mar-08
61.451,60.8365,62.8336,12-Mar-08
58.8234,58.2352,60.1469,13-Mar-08
59.466,58.8713,60.804,14-Mar-08
56.7117,56.1446,57.9877,17-Mar-08
56.4685,55.9038,57.739,18-Mar-08
56.276,55.7132,57.5422,19-Mar-08
55.8714,55.3127,57.1285,24-Mar-08
58.5421,57.9567,59.8593,25-Mar-08
58.7224,58.1352,60.0437,26-Mar-08
58.7398,58.1524,60.0614,27-Mar-08
60.4406,59.8362,61.8005,28-Mar-08
59.1627,58.5711,60.4939,31-Mar-08
58.5795,57.9937,59.8975,1-Apr-08
58.7317,58.1444,60.0532,2-Apr-08
58.3639,57.7803,59.6771,3-Apr-08
57.302,56.729,58.5913,4-Apr-08
58.1647,57.5831,59.4734,7-Apr-08
58.0303,57.45,59.336,8-Apr-08
58.5806,57.9948,59.8987,9-Apr-08
58.4526,57.8681,59.7678,10-Apr-08
58.6994,58.1124,60.0201,11-Apr-08
59.3311,58.7378,60.666,15-Apr-08
59.6691,59.0724,61.0117,16-Apr-08
60.2151,59.6129,61.5699,17-Apr-08
61.0498,60.4393,62.4234,21-Apr-08
61.4799,60.8651,62.8632,22-Apr-08
61.57,60.9543,62.9553,23-Apr-08
61.2544,60.6419,62.6326,24-Apr-08
61.7951,61.1771,63.1855,25-Apr-08
61.774,61.1563,63.1639,28-Apr-08
62.2491,61.6266,63.6497,29-Apr-08
62.3406,61.7172,63.7433,30-Apr-08
62.9299,62.3006,64.3458,2-May-08
62.9135,62.2844,64.3291,5-May-08
62.6454,62.0189,64.0549,6-May-08
62.5096,61.8845,63.9161,7-May-08
62.1156,61.4944,63.5132,8-May-08
61.3258,60.7125,62.7056,9-May-08
61.0927,60.4818,62.4673,12-May-08
61.0284,60.4181,62.4015,13-May-08
61.1557,60.5441,62.5317,14-May-08
61.7555,61.1379,63.145,15-May-08
62.3556,61.732,63.7586,16-May-08
62.1966,61.5746,63.596,20-May-08
62.4134,61.7893,63.8177,21-May-08
61.7123,61.0952,63.1008,22-May-08
61.208,60.5959,62.5852,23-May-08
60.0567,59.4561,61.408,26-May-08
59.8085,59.2104,61.1542,27-May-08
