NAV,RP,SP,Date,
147.6821,146.9437,151.0049,27-Aug-08,
145.9885,145.2586,149.2732,28-Aug-08,
150.297,149.5455,153.6787,29-Aug-08,
149.8597,149.1104,153.2315,1-Sep-08,
153.4872,152.7198,156.9407,2-Sep-08,
152.6107,151.8476,156.0444,4-Sep-08,
150.1272,149.3766,153.5051,5-Sep-08,
152.2387,151.4775,155.6641,8-Sep-08,
152.2169,151.4558,155.6418,9-Sep-08,
151.122,150.3664,154.5222,10-Sep-08,
148.8776,148.1332,152.2273,11-Sep-08,
147.1399,146.4042,150.4505,12-Sep-08,
143.5612,142.8434,146.7913,15-Sep-08,
143.5286,142.811,146.758,16-Sep-08,
141.5049,140.7974,144.6888,17-Sep-08,
141.4546,140.7473,144.6373,18-Sep-08,
146.3162,145.5846,149.6083,19-Sep-08,
145.8844,145.155,149.1668,22-Sep-08,
143.248,142.5318,146.4711,23-Sep-08,
143.8979,143.1784,147.1356,24-Sep-08,
143.0147,142.2996,146.2325,25-Sep-08,
139.7831,139.0842,142.9282,26-Sep-08,
136.6781,135.9947,139.7534,29-Sep-08,
139.7243,139.0257,142.8681,30-Sep-08,
141.2255,140.5194,144.4031,1-Oct-08,
138.1027,137.4122,141.21,3-Oct-08,
132.2634,131.6021,135.2393,6-Oct-08,
130.2674,129.6161,133.1984,7-Oct-08,
126.0912,125.4607,128.9283,8-Oct-08,
118.2984,117.7069,120.9601,10-Oct-08,
124.7552,124.1314,127.5622,13-Oct-08,
126.1985,125.5675,129.038,14-Oct-08,
121.3591,120.7523,124.0897,15-Oct-08,
120.4403,119.8381,123.1502,16-Oct-08,
116.2361,115.6549,118.8514,17-Oct-08,
117.2886,116.7022,119.9276,20-Oct-08,
120.295,119.6935,123.0016,21-Oct-08,
115.3544,114.7776,117.9499,22-Oct-08,
111.3477,110.791,113.853,23-Oct-08,
102.2106,101.6995,104.5103,24-Oct-08,
100.189,99.6881,102.4433,27-Oct-08,
104.976,104.4511,107.338,29-Oct-08,
109.0765,108.5311,111.5307,31-Oct-08,
113.8496,113.2804,116.4112,3-Nov-08,
116.2583,115.677,118.8741,4-Nov-08,
112.8847,112.3203,115.4246,5-Nov-08,
110.0761,109.5257,112.5528,6-Nov-08,
111.786,111.2271,114.3012,7-Nov-08,
116.3733,115.7914,118.9917,10-Nov-08,
110.6397,110.0865,113.1291,11-Nov-08,
108.1031,107.5626,110.5354,12-Nov-08,
106.8365,106.3023,109.2403,14-Nov-08,
104.7733,104.2494,107.1307,17-Nov-08,
102.1461,101.6354,104.4444,18-Nov-08,
100.975,100.4701,103.2469,19-Nov-08,
98.269,97.7777,100.4801,20-Nov-08,
101.1132,100.6076,103.3882,21-Nov-08,
101.4927,100.9852,103.7763,24-Nov-08,
100.554,100.0512,102.8165,25-Nov-08,
103.2637,102.7474,105.5871,26-Nov-08,
104.464,103.9417,106.8144,28-Nov-08,
102.2357,101.7245,104.536,1-Dec-08,
101.6092,101.1012,103.8954,2-Dec-08,
101.3796,100.8727,103.6606,3-Dec-08,
105.1206,104.595,107.4858,4-Dec-08,
103.1408,102.6251,105.4615,5-Dec-08,
104.3666,103.8448,106.7148,8-Dec-08,
107.6191,107.081,110.0405,10-Dec-08,
107.9728,107.4329,110.4022,11-Dec-08,
108.5977,108.0547,111.0411,12-Dec-08,
110.6223,110.0692,113.1113,15-Dec-08,
112.3284,111.7668,114.8558,16-Dec-08,
109.7876,109.2387,112.2578,17-Dec-08,
112.6601,112.0968,115.195,18-Dec-08,
113.5359,112.9682,116.0905,19-Dec-08,
111.5484,110.9907,114.0582,22-Dec-08,
109.2634,108.7171,111.7218,23-Dec-08,
108.3565,107.8147,110.7945,24-Dec-08,
106.8143,106.2802,109.2176,26-Dec-08,
109.0559,108.5106,111.5097,29-Dec-08,
111.5447,110.987,114.0545,30-Dec-08,
111.5447,110.987,114.0545,30-Dec-08,
111.4058,110.8488,113.9124,31-Dec-08,
113.796,113.227,116.3564,1-Jan-09,
115.0148,114.4397,117.6026,2-Jan-09,
116.8529,116.2686,119.4821,5-Jan-09,
117.0713,116.4859,119.7054,6-Jan-09,
109.9585,109.4087,112.4326,7-Jan-09,
108.3168,107.7752,110.7539,9-Jan-09,
106.3963,105.8643,108.7902,12-Jan-09,
105.9684,105.4386,108.3527,13-Jan-09,
108.0019,107.4619,110.4319,14-Jan-09,
105.4565,104.9292,107.8293,15-Jan-09,
106.9307,106.396,109.3366,16-Jan-09,
107.4087,106.8717,109.8254,19-Jan-09,
105.5989,105.0709,107.9749,20-Jan-09,
103.5163,102.9987,105.8454,21-Jan-09,
103.0786,102.5632,105.3979,22-Jan-09,
101.4967,100.9892,103.7804,23-Jan-09,
103.5007,102.9832,105.8295,27-Jan-09,
105.5075,104.98,107.8814,28-Jan-09,
104.6389,104.1157,106.9933,29-Jan-09,
105.674,105.1456,108.0517,30-Jan-09,
103.2262,102.7101,105.5488,2-Feb-09,
103.8603,103.341,106.1972,3-Feb-09,
104.0688,103.5485,106.4103,4-Feb-09,
103.0888,102.5734,105.4083,5-Feb-09,
105.0501,104.5248,107.4137,6-Feb-09,
107.1367,106.601,109.5473,9-Feb-09,
107.7351,107.1964,110.1591,10-Feb-09,
108.2755,108.2755,110.7117,11-Feb-09,
107.3208,107.3208,109.7355,12-Feb-09,
108.648,108.648,111.0926,13-Feb-09,
105.815,105.815,108.1958,16-Feb-09,
103.4042,103.4042,105.7308,17-Feb-09,
103.5331,103.5331,105.8626,18-Feb-09,
103.5296,103.5296,105.859,19-Feb-09,
102.2684,102.2684,104.5694,20-Feb-09,
101.4075,101.4075,103.6892,24-Feb-09,
101.7015,101.7015,103.9898,25-Feb-09,
101.1178,101.1178,103.393,27-Feb-09,
98.9246,98.9246,101.1504,2-Mar-09,
97.6161,97.6161,99.8125,3-Mar-09,
97.8298,97.8298,100.031,4-Mar-09,
95.6675,95.6675,97.82,5-Mar-09,
96.0894,96.0894,98.2514,6-Mar-09,
94.5896,94.5896,96.7179,9-Mar-09,
95.6765,94.7197,97.8292,12-Mar-09,
98.3844,97.4006,100.598,13-Mar-09,
100.5623,99.5567,102.825,16-Mar-09,
99.5786,98.5828,101.8191,17-Mar-09,
100.9345,99.9252,103.2055,18-Mar-09,
101.0762,100.0654,103.3504,19-Mar-09,
100.5525,99.547,102.8149,20-Mar-09,
103.6777,102.6409,106.0104,23-Mar-09,
104.4025,103.3585,106.7516,24-Mar-09,
105.477,104.4222,107.8502,25-Mar-09,
108.136,107.0546,110.5691,26-Mar-09,
109.4199,108.3257,111.8818,27-Mar-09,
107.2973,106.2243,109.7115,30-Mar-09,
109.2452,108.1527,111.7032,31-Mar-09,
110.3357,109.2323,112.8183,1-Apr-09,
113.2943,112.1614,115.8434,2-Apr-09,
